2016-07-25T05:50:19.303002Z|execution|INTERRUPTED
2016-07-25T05:50:20.303002Z|avail|AVAILABLE
2016-07-25T05:50:21.303002Z|Xsystem|AVAILABLE
2016-07-25T05:50:22.303002Z|tool_id|1
2016-07-25T05:50:23.303002Z|execution|ACTIVE
2016-07-25T05:50:24.303002Z|avail|UNAVAILABLE
2016-07-25T05:50:25.303002Z|execution|READY
2016-07-25T05:50:26.303002Z|avail|AVAILABLE
2016-07-25T05:50:27.303002Z|program|Tap|execution|READY
2016-07-25T05:50:28.303002Z|tool_id|2
2016-07-25T05:50:29.303002Z|avail|AVAILABLE
2016-07-25T05:50:24.303002Z|avail|UNAVAILABLE
2016-07-25T05:50:30.303002Z|program|Countersink|execution|ACTIVE
2016-07-25T05:50:31.303002Z|tool_id|3
2016-07-25T05:50:32.303002Z|execution|READY
2016-07-25T05:50:33.303002Z|Sspeed|0
2016-07-25T05:50:34.303002Z|Sovr|0
2016-07-25T05:50:35.303002Z|Cmode|0
2016-07-25T05:50:36.303002Z|Cload|3
2016-07-25T05:50:37.303002Z|power|0
2016-07-25T05:50:38.303002Z|Cloadc|NORMAL
